Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998,40.000000,38.724998,39.700001,28.128597,212976
2002-08-13,39.750000,40.387501,38.875000,39.162498,27.747753,153576
2002-08-14,39.250000,39.250000,35.724998,36.462502,25.834730,822776
2002-08-15,36.462502,36.462502,36.462502,36.462502,25.834730,0
2002-08-16,36.275002,38.000000,35.750000,36.375000,25.772747,811856
2002-08-19,36.674999,36.674999,35.137501,35.474998,25.135063,205880
2002-08-20,35.724998,38.724998,35.487499,36.462502,25.834730,3773624
2002-08-21,38.474998,39.200001,36.525002,38.250000,27.101231,3011064
2002-08-22,39.512501,41.575001,39.312500,39.900002,28.270309,6732480
2002-08-23,40.250000,43.625000,39.762501,42.299999,29.970774,4841672
2002-08-26,42.974998,43.250000,41.812500,42.150002,29.864489,2576912
2002-08-27,42.500000,44.250000,40.750000,41.099998,29.120522,3694224
2002-08-28,40.974998,41.599998,40.287498,41.137501,29.147106,1674960
2002-08-29,40.887501,41.875000,40.750000,41.137501,29.147106,1236544
2002-08-30,41.262501,45.125000,41.250000,44.049999,31.210693,3762384
2002-09-02,44.750000,45.974998,44.049999,44.500000,31.529543,2389568
2002-09-03,44.750000,44.937500,42.000000,42.412498,30.050486,986784
2002-09-04,41.875000,43.750000,41.387501,43.337502,30.705873,1449856
2002-09-05,44.662498,44.862499,42.500000,43.075001,30.519869,1061360
2002-09-06,43.250000,43.250000,41.012501,41.474998,29.386227,907472
2002-09-09,39.500000,42.687500,39.500000,40.937500,29.005405,880848
2002-09-10,40.937500,40.937500,40.937500,40.937500,29.005405,0
2002-09-11,41.162498,42.700001,41.162498,41.974998,29.740492,635936
2002-09-12,42.487499,43.224998,41.900002,42.187500,29.891054,781968
2002-09-13,40.712502,42.224998,40.637501,40.987499,29.040834,338264
2002-09-16,41.375000,41.599998,39.875000,40.187500,28.474007,288592
2002-09-17,40.912498,41.625000,40.775002,41.362499,29.306528,462952
2002-09-18,41.125000,41.250000,39.750000,40.087502,28.403158,315432
2002-09-19,39.750000,41.075001,39.250000,39.750000,28.164015,490848
2002-09-20,38.325001,39.674999,38.162498,39.099998,27.703474,501072
2002-09-23,39.375000,39.474998,38.275002,38.437500,27.234077,248504
2002-09-24,38.299999,38.299999,36.724998,37.137501,26.312981,267912
2002-09-25,36.275002,37.750000,36.000000,37.424999,26.516689,379544
2002-09-26,38.200001,38.612499,37.750000,38.012501,26.932966,178136
2002-09-27,37.887501,39.000000,37.887501,38.474998,27.260635,206288
2002-09-30,37.887501,38.474998,36.275002,37.075001,26.268709,202232
2002-10-01,37.250000,37.750000,36.125000,36.762501,26.047304,240192
2002-10-02,36.762501,36.762501,36.762501,36.762501,26.047304,0
2002-10-03,37.250000,39.750000,37.250000,37.750000,26.746975,673264
2002-10-04,38.250000,38.362499,37.125000,37.512501,26.578691,258296
2002-10-07,37.762501,38.000000,37.025002,37.349998,26.463545,110976
2002-10-08,37.462502,38.724998,37.250000,38.362499,27.180944,227352
2002-10-09,38.500000,39.112499,37.062500,37.387501,26.490118,277040
2002-10-10,38.500000,38.500000,36.637501,37.424999,26.516689,173224
2002-10-11,38.474998,38.937500,38.112499,38.212502,27.074663,192536
2002-10-14,38.924999,39.000000,37.575001,37.937500,26.879822,152744
2002-10-15,37.937500,37.937500,37.937500,37.937500,26.879822,0
2002-10-16,42.775002,42.775002,37.775002,38.012501,26.932966,247760
2002-10-17,38.250000,38.250000,37.525002,38.012501,26.932966,144512
2002-10-18,38.750000,39.924999,38.287498,38.812500,27.499771,512312
2002-10-21,39.724998,40.737499,39.250000,39.412498,27.924892,646296
2002-10-22,39.750000,39.750000,37.750000,37.987499,26.915241,229384
2002-10-23,38.250000,38.700001,37.525002,37.812500,26.791254,153320
2002-10-24,38.224998,38.349998,36.900002,37.150002,26.321852,168744
2002-10-25,36.500000,37.087502,36.275002,36.387501,25.781593,172296
2002-10-28,36.125000,36.500000,35.549999,35.849998,25.400761,134504
2002-10-29,35.750000,36.450001,35.549999,36.162498,25.622175,143024
2002-10-30,36.500000,37.437500,36.250000,36.775002,26.056152,164320
2002-10-31,37.000000,37.500000,36.799999,37.349998,26.463545,118928
2002-11-01,37.525002,38.150002,36.762501,36.962502,26.189005,108792
2002-11-04,37.500000,37.500000,36.950001,37.237499,26.383835,56560
2002-11-05,36.887501,37.325001,36.599998,36.837502,26.100433,70288
2002-11-06,36.837502,36.837502,36.837502,36.837502,26.100433,0
2002-11-07,37.500000,39.500000,37.500000,37.974998,26.906385,204880
2002-11-08,37.250000,37.737499,37.025002,37.312500,26.436987,77664
2002-11-11,37.500000,37.500000,36.674999,36.750000,26.038448,66568
